trait,blue,GID
DAYSMT,148.2504651,GID304660
DAYSMT,148.4950345,GID3872194
DAYSMT,150.0668822,GID4755014
DAYSMT,145.1038606,GID5398434
DAYSMT,150.9833779,GID5398530
DAYSMT,148.2716614,GID6333158
DAYSMT,148.7476622,GID6689550
DAYSMT,150.0576154,GID6863533
DAYSMT,144.6509281,GID6931301
DAYSMT,145.4661071,GID6931304
DAYSMT,147.0982568,GID6931424
DAYSMT,146.9144186,GID6931516
DAYSMT,146.3128362,GID6931531
DAYSMT,151.0889597,GID6931645
DAYSMT,146.290133,GID6932347
DAYSMT,145.0140095,GID6932429
DAYSMT,144.0071774,GID6932597
DAYSMT,148.6310545,GID6932961
DAYSMT,148.8693594,GID6932999
DAYSMT,146.1557742,GID6933145
DAYSMT,148.8676055,GID6933163
DAYSMT,150.5166152,GID6933221
DAYSMT,149.2570059,GID6933877
DAYSMT,150.580421,GID6934141
DAYSMT,149.9314113,GID6934335
DAYSMT,147.828324,GID6934427
DAYSMT,149.1750435,GID6934762
DAYSMT,149.7224707,GID6934878
DAYSMT,148.4082859,GID6934920
DAYSMT,149.5858943,GID6934954
DAYSMT,148.3830743,GID6935239
DAYSMT,148.9653473,GID6935450
DAYSMT,151.9791892,GID6935465
DAYSMT,143.3317528,GID6935689
DAYSMT,151.6310018,GID6935968
DAYSMT,148.9315593,GID6935992
DAYSMT,148.9105779,GID6935993
DAYSMT,149.2476622,GID6936896
DAYSMT,149.4047834,GID6937284
DAYSMT,147.6593119,GID6937400
DAYSMT,149.2573881,GID6937420
DAYSMT,149.3396041,GID6937509
DAYSMT,144.4528726,GID6938530
DAYSMT,144.4528726,GID6938531
DAYSMT,149.8607734,GID6938671
DAYSMT,149.1109841,GID6938713
DAYSMT,147.2746598,GID6938802
DAYSMT,145.5363549,GID6938803
DAYSMT,146.9618459,GID6938947
DAYSMT,147.8070541,GID6938973
DAYSMT,151.0828526,GID6939837
DAYSMT,150.1501421,GID6939842
DAYSMT,149.0016488,GID6939899
DAYSMT,149.649904,GID6939903
DAYSMT,149.3953754,GID6939904
DAYSMT,148.9948167,GID6939938
DAYSMT,149.8272434,GID6939941
DAYSMT,149.3830743,GID6939945
DAYSMT,148.495317,GID7044357
DAYSMT,149.363921,GID7044358
DAYSMT,145.4777841,GID7044367
DAYSMT,147.3160477,GID7044472
DAYSMT,145.9132431,GID7044516
DAYSMT,147.4754719,GID7044536
DAYSMT,148.3610999,GID7044573
DAYSMT,149.2830175,GID7044583
DAYSMT,149.3582785,GID7044586
DAYSMT,147.765455,GID7044679
DAYSMT,147.265455,GID7044689
DAYSMT,147.9928501,GID7044766
DAYSMT,145.9676861,GID7044800
DAYSMT,145.8544661,GID7044811
DAYSMT,150.4179363,GID7044812
DAYSMT,150.5175744,GID7044814
DAYSMT,145.3647585,GID7044828
DAYSMT,148.8040721,GID7044885
DAYSMT,145.691771,GID7044886
DAYSMT,147.9455817,GID7045003
DAYSMT,147.7114912,GID7045044
DAYSMT,148.2178376,GID7045112
DAYSMT,150.2890574,GID7045116
DAYSMT,152.1646599,GID7045143
DAYSMT,149.6457222,GID7045240
DAYSMT,150.1619158,GID7045243
DAYSMT,147.0622777,GID7045271
DAYSMT,147.6476804,GID7045647
DAYSMT,144.8695427,GID7045945
DAYSMT,144.1785417,GID7045950
DAYSMT,150.0469399,GID7046099
DAYSMT,152.1911849,GID7046102
DAYSMT,146.2775114,GID7046165
DAYSMT,152.3157213,GID7046190
DAYSMT,147.5422214,GID7046204
DAYSMT,144.2115683,GID7046215
DAYSMT,143.9741479,GID7046378
DAYSMT,142.8572452,GID7046382
DAYSMT,150.4571604,GID7046390
DAYSMT,147.8552678,GID7046418
DAYSMT,148.2311873,GID7046514
DAYSMT,151.2915784,GID7046663
DAYSMT,151.5377067,GID7046782
DAYSMT,145.8375921,GID7046872
DAYSMT,144.6621676,GID7047009
DAYSMT,144.9131631,GID7047099
DAYSMT,147.0739548,GID7047125
DAYSMT,149.0869137,GID7047155
DAYSMT,148.5316406,GID7047170
DAYSMT,150.1286503,GID7047177
DAYSMT,145.8717076,GID7047195
DAYSMT,147.8717076,GID7047225
DAYSMT,151.1908468,GID7047290
DAYSMT,143.0453244,GID7047297
DAYSMT,147.1908468,GID7047304
DAYSMT,149.2272654,GID7047479
DAYSMT,150.3261421,GID7047518
DAYSMT,151.6793835,GID7047541
DAYSMT,148.7829137,GID7047542
DAYSMT,150.1191704,GID7047543
DAYSMT,151.2765688,GID7047544
DAYSMT,151.2765688,GID7047552
DAYSMT,149.5507946,GID7047556
DAYSMT,151.4868963,GID7047560
DAYSMT,150.9667618,GID7047568
DAYSMT,149.9311331,GID7047597
DAYSMT,148.0682064,GID7047610
DAYSMT,148.2033342,GID7047612
DAYSMT,147.2977365,GID7047619
DAYSMT,150.0501656,GID7047843
DAYSMT,149.3601751,GID7047854
DAYSMT,147.5339342,GID7047929
DAYSMT,146.2626709,GID7047937
DAYSMT,148.7383714,GID7047943
DAYSMT,147.0727064,GID7047989
DAYSMT,147.4736183,GID7047993
DAYSMT,147.7471962,GID7048153
DAYSMT,147.518563,GID7048227
DAYSMT,147.1074413,GID7048286
DAYSMT,144.4065486,GID7048427
DAYSMT,145.1589238,GID7048441
DAYSMT,148.1724166,GID7048516
DAYSMT,148.6724166,GID7048517
DAYSMT,151.3094134,GID7048518
DAYSMT,148.9946316,GID7170548
DAYSMT,146.6485692,GID7170673
DAYSMT,149.4754182,GID7170723
DAYSMT,149.9372083,GID7170771
DAYSMT,146.536929,GID7170773
DAYSMT,147.4372083,GID7170827
