trait,blue,GID
DAYSMT,151.7824642,GID7312673
DAYSMT,149.9232868,GID7312736
DAYSMT,146.4607089,GID7312934
DAYSMT,147.1721361,GID7312955
DAYSMT,152.2499564,GID7313022
DAYSMT,152.4039768,GID7313023
DAYSMT,150.981446,GID7313027
DAYSMT,149.9753183,GID7313028
DAYSMT,150.0629429,GID7313031
DAYSMT,149.9753183,GID7313040
DAYSMT,145.7222701,GID7313048
DAYSMT,147.5325706,GID7313112
DAYSMT,148.7401383,GID7313172
DAYSMT,150.2608868,GID7313312
DAYSMT,149.9853469,GID7313318
DAYSMT,147.416674,GID7313327
DAYSMT,153.1124267,GID7313358
DAYSMT,151.0114829,GID7313392
DAYSMT,150.9819262,GID7313395
DAYSMT,151.0455104,GID7313406
DAYSMT,150.9497408,GID7313459
DAYSMT,151.5382309,GID7313462
DAYSMT,144.4310808,GID7313608
DAYSMT,151.6542432,GID7313663
DAYSMT,146.7001194,GID7313678
DAYSMT,152.0893728,GID7313682
DAYSMT,145.1049359,GID7313697
DAYSMT,150.4172772,GID7313708
DAYSMT,150.4223227,GID7313724
DAYSMT,147.6799942,GID7313754
DAYSMT,148.0589393,GID7313767
DAYSMT,149.1056809,GID7313770
DAYSMT,150.7830951,GID7313804
DAYSMT,149.822267,GID7313806
DAYSMT,148.5352829,GID7313811
DAYSMT,149.6817537,GID7314091
DAYSMT,153.0245297,GID7395684
DAYSMT,153.3626786,GID7395694
DAYSMT,151.3626786,GID7395818
DAYSMT,147.4808071,GID7395822
DAYSMT,152.0275958,GID7395864
DAYSMT,149.1153936,GID7395899
DAYSMT,148.7508164,GID7395907
DAYSMT,148.3520506,GID7395915
DAYSMT,147.1806358,GID7395926
DAYSMT,150.4268653,GID7395953
DAYSMT,148.636032,GID7395966
DAYSMT,148.7809641,GID7395971
DAYSMT,149.7809641,GID7395976
DAYSMT,151.8394228,GID7396029
DAYSMT,148.3988117,GID7396039
DAYSMT,151.8988117,GID7396072
DAYSMT,144.9249757,GID7396083
DAYSMT,150.715809,GID7396102
DAYSMT,149.976287,GID7396103
DAYSMT,147.9951563,GID7396104
DAYSMT,152.4268561,GID7396125
DAYSMT,150.5581763,GID7396133
